Gene,Importance
GABBR1 /// UBD,0.19207677
HLA-DRB1 /// HLA-DRB1,0.05666249
236383_at,0.05221778
LOC101926960,0.04658815
222366_at,0.039983243
ZNF618.1,0.03639211
236794_at,0.03567431
235229_at,0.03256558
LOC100129884,0.029932901
CLIC2,0.024312181
PEBP1.1,0.021299956
IPO11 /// LRRC70,0.021215979
RP1-93H18.6,0.018323727
FAM3C.1,0.017620139
235739_at,0.017274993
243827_at,0.016422322
CLK2,0.014335666
244218_at,0.013451876
1558600_a_at,0.012390055
ZNF704.4,0.012261415
237232_at,0.01030235
SLC25A45.1,0.01009656
EPHA1-AS1.1,0.0097750155
SDCCAG8,0.009435265
TTK,0.008725744
LOC101926975,0.00860226
LOC100506274.1,0.008512601
DSTNP1 /// DSTNP1,0.008081179
HOXA2,0.008009071
ZNF618,0.007864271
